subset,model,k,metric,value,n_questions
changed,WithoutEntity,5,Strict-Hit,0.7746686303387335,679
changed,WithoutEntity,5,Strict-Recall,0.7746686303387335,679
changed,WithoutEntity,5,Strict-MRR,0.6724349533627885,679
changed,WithoutEntity,5,nDCG,0.5442318767327483,679
changed,WithoutEntity,6,Strict-Hit,0.7997054491899853,679
changed,WithoutEntity,6,Strict-Recall,0.7997054491899853,679
changed,WithoutEntity,6,Strict-MRR,0.6766077565046638,679
changed,WithoutEntity,6,nDCG,0.5531622003191778,679
changed,WithoutEntity,7,Strict-Hit,0.8173784977908689,679
changed,WithoutEntity,7,Strict-Recall,0.8173784977908689,679
changed,WithoutEntity,7,Strict-MRR,0.6791324777333614,679
changed,WithoutEntity,7,nDCG,0.5589358569332812,679
changed,WithoutEntity,8,Strict-Hit,0.8247422680412371,679
changed,WithoutEntity,8,Strict-Recall,0.8247422680412371,679
changed,WithoutEntity,8,Strict-MRR,0.6800529490146574,679
changed,WithoutEntity,8,nDCG,0.5618658736896168,679
changed,WithoutEntity,9,Strict-Hit,0.8321060382916053,679
changed,WithoutEntity,9,Strict-Recall,0.8321060382916053,679
changed,WithoutEntity,9,Strict-MRR,0.6808711457091428,679
changed,WithoutEntity,9,nDCG,0.5648098400462287,679
changed,WithoutEntity,10,Strict-Hit,0.8379970544918999,679
changed,WithoutEntity,10,Strict-Recall,0.8379970544918999,679
changed,WithoutEntity,10,Strict-MRR,0.6814602473291722,679
changed,WithoutEntity,10,nDCG,0.5676372851480425,679
changed,WithoutPhrase,1,Strict-Hit,0.7466863033873343,679
changed,WithoutPhrase,1,Strict-Recall,0.7466863033873343,679
changed,WithoutPhrase,1,Strict-MRR,0.7466863033873343,679
changed,WithoutPhrase,1,nDCG,0.756785188302125,679
changed,WithoutPhrase,2,Strict-Hit,0.8203240058910162,679
changed,WithoutPhrase,2,Strict-Recall,0.8203240058910162,679
changed,WithoutPhrase,2,Strict-MRR,0.7835051546391752,679
changed,WithoutPhrase,2,nDCG,0.6561019564607691,679
changed,WithoutPhrase,3,Strict-Hit,0.8733431516936672,679
changed,WithoutPhrase,3,Strict-Recall,0.8733431516936672,679
changed,WithoutPhrase,3,Strict-MRR,0.801178203240059,679
changed,WithoutPhrase,3,nDCG,0.6209723419494637,679
changed,WithoutPhrase,4,Strict-Hit,0.8910162002945509,679
changed,WithoutPhrase,4,Strict-Recall,0.8910162002945509,679
changed,WithoutPhrase,4,Strict-MRR,0.8055964653902798,679
changed,WithoutPhrase,4,nDCG,0.630427713775801,679
changed,WithoutPhrase,5,Strict-Hit,0.9116347569955817,679
changed,WithoutPhrase,5,Strict-Recall,0.9116347569955817,679
changed,WithoutPhrase,5,Strict-MRR,0.8097201767304859,679
changed,WithoutPhrase,5,nDCG,0.6392577973348599,679
changed,WithoutPhrase,6,Strict-Hit,0.9263622974963182,679
changed,WithoutPhrase,6,Strict-Recall,0.9263622974963182,679
changed,WithoutPhrase,6,Strict-MRR,0.8121747668139421,679
changed,WithoutPhrase,6,nDCG,0.6444673551629853,679
changed,WithoutPhrase,7,Strict-Hit,0.930780559646539,679
changed,WithoutPhrase,7,Strict-Recall,0.930780559646539,679
changed,WithoutPhrase,7,Strict-MRR,0.8128059471211164,679
changed,WithoutPhrase,7,nDCG,0.6466168963913065,679
changed,WithoutPhrase,8,Strict-Hit,0.9381443298969072,679
changed,WithoutPhrase,8,Strict-Recall,0.9381443298969072,679
changed,WithoutPhrase,8,Strict-MRR,0.8137264184024124,679
changed,WithoutPhrase,8,nDCG,0.6498663057534071,679
changed,WithoutPhrase,9,Strict-Hit,0.9455081001472754,679
changed,WithoutPhrase,9,Strict-Recall,0.9455081001472754,679
changed,WithoutPhrase,9,Strict-MRR,0.8145446150968979,679
changed,WithoutPhrase,9,nDCG,0.6523055629054176,679
changed,WithoutPhrase,10,Strict-Hit,0.9484536082474226,679
changed,WithoutPhrase,10,Strict-Recall,0.9484536082474226,679
changed,WithoutPhrase,10,Strict-MRR,0.8148391659069125,679
changed,WithoutPhrase,10,nDCG,0.6542515594924961,679
changed,WithoutText,1,Strict-Hit,0.6185567010309279,679
changed,WithoutText,1,Strict-Recall,0.6185567010309279,679
changed,WithoutText,1,Strict-MRR,0.6185567010309279,679
changed,WithoutText,1,nDCG,0.6292867662528929,679
changed,WithoutText,2,Strict-Hit,0.7407952871870398,679
changed,WithoutText,2,Strict-Recall,0.7407952871870398,679
changed,WithoutText,2,Strict-MRR,0.6796759941089838,679
changed,WithoutText,2,nDCG,0.5701605570129209,679
changed,WithoutText,3,Strict-Hit,0.7835051546391752,679
changed,WithoutText,3,Strict-Recall,0.7835051546391752,679
changed,WithoutText,3,Strict-MRR,0.6939126165930289,679
changed,WithoutText,3,nDCG,0.5376714391291426,679
changed,WithoutText,4,Strict-Hit,0.8232695139911634,679
changed,WithoutText,4,Strict-Recall,0.8232695139911634,679
changed,WithoutText,4,Strict-MRR,0.703853706431026,679
changed,WithoutText,4,nDCG,0.5536012303388832,679
changed,WithoutText,5,Strict-Hit,0.8468335787923417,679
changed,WithoutText,5,Strict-Recall,0.8468335787923417,679
changed,WithoutText,5,Strict-MRR,0.7085665193912617,679
changed,WithoutText,5,nDCG,0.5620918214968137,679
changed,WithoutText,6,Strict-Hit,0.8703976435935199,679
changed,WithoutText,6,Strict-Recall,0.8703976435935199,679
changed,WithoutText,6,Strict-MRR,0.7124938635247914,679
changed,WithoutText,6,nDCG,0.5711873255916381,679
changed,WithoutText,7,Strict-Hit,0.8762886597938144,679
changed,WithoutText,7,Strict-Recall,0.8762886597938144,679
changed,WithoutText,7,Strict-MRR,0.7133354372676907,679
changed,WithoutText,7,nDCG,0.5743459056047986,679
changed,WithoutText,8,Strict-Hit,0.8910162002945509,679
changed,WithoutText,8,Strict-Recall,0.8910162002945509,679
changed,WithoutText,8,Strict-MRR,0.7151763798302827,679
changed,WithoutText,8,nDCG,0.5789219012805392,679
changed,WithoutText,9,Strict-Hit,0.9013254786450663,679
changed,WithoutText,9,Strict-Recall,0.9013254786450663,679
changed,WithoutText,9,Strict-MRR,0.7163218552025621,679
changed,WithoutText,9,nDCG,0.5824358506554135,679
changed,WithoutText,10,Strict-Hit,0.9072164948453608,679
changed,WithoutText,10,Strict-Recall,0.9072164948453608,679
changed,WithoutText,10,Strict-MRR,0.7169109568225915,679
changed,WithoutText,10,nDCG,0.5842179946393018,679
unchanged,AliasAwareFusion,1,Strict-Hit,0.777859778597786,1355
unchanged,AliasAwareFusion,1,Strict-Recall,0.777859778597786,1355
unchanged,AliasAwareFusion,1,Strict-MRR,0.777859778597786,1355
unchanged,AliasAwareFusion,1,nDCG,0.7848181338956247,1355
unchanged,AliasAwareFusion,2,Strict-Hit,0.8472324723247232,1355
unchanged,AliasAwareFusion,2,Strict-Recall,0.8472324723247232,1355
unchanged,AliasAwareFusion,2,Strict-MRR,0.8125461254612546,1355
unchanged,AliasAwareFusion,2,nDCG,0.6708031570484015,1355
unchanged,AliasAwareFusion,3,Strict-Hit,0.8841328413284133,1355
unchanged,AliasAwareFusion,3,Strict-Recall,0.8841328413284133,1355
unchanged,AliasAwareFusion,3,Strict-MRR,0.8248462484624846,1355
unchanged,AliasAwareFusion,3,nDCG,0.6360196934204703,1355
unchanged,AliasAwareFusion,4,Strict-Hit,0.8996309963099631,1355
unchanged,AliasAwareFusion,4,Strict-Recall,0.8996309963099631,1355
unchanged,AliasAwareFusion,4,Strict-MRR,0.828720787207872,1355
unchanged,AliasAwareFusion,4,nDCG,0.6453784576332855,1355
unchanged,AliasAwareFusion,5,Strict-Hit,0.9099630996309963,1355
unchanged,AliasAwareFusion,5,Strict-Recall,0.9099630996309963,1355
unchanged,AliasAwareFusion,5,Strict-MRR,0.8307872078720787,1355
unchanged,AliasAwareFusion,5,nDCG,0.6508302932485104,1355
unchanged,AliasAwareFusion,6,Strict-Hit,0.9232472324723248,1355
unchanged,AliasAwareFusion,6,Strict-Recall,0.9232472324723248,1355
unchanged,AliasAwareFusion,6,Strict-MRR,0.8330012300123002,1355
unchanged,AliasAwareFusion,6,nDCG,0.6554814897574582,1355
unchanged,AliasAwareFusion,7,Strict-Hit,0.933579335793358,1355
unchanged,AliasAwareFusion,7,Strict-Recall,0.933579335793358,1355
unchanged,AliasAwareFusion,7,Strict-MRR,0.8344772447724478,1355
unchanged,AliasAwareFusion,7,nDCG,0.6594992007351982,1355
unchanged,AliasAwareFusion,8,Strict-Hit,0.9402214022140222,1355
unchanged,AliasAwareFusion,8,Strict-Recall,0.9402214022140222,1355
unchanged,AliasAwareFusion,8,Strict-MRR,0.8353075030750308,1355
