subset,model,k,metric,value_mean,value_std
all,WithoutText,8,nDCG,0.5240043945113928,0.0006641690747976934
all,WithoutText,9,Strict-Hit,0.8284169124877089,0.0009832841691249233
all,WithoutText,9,Strict-MRR,0.6435507744013153,0.0011959038282738784
all,WithoutText,9,Strict-Recall,0.8284169124877089,0.0009832841691249233
all,WithoutText,9,nDCG,0.5269173484406836,0.00092452066835491
all,WithoutText,10,Strict-Hit,0.8384136348738118,0.0015019913782221798
all,WithoutText,10,Strict-MRR,0.6445504466399256,0.0011358912014398839
all,WithoutText,10,Strict-Recall,0.8384136348738118,0.0015019913782221798
all,WithoutText,10,nDCG,0.5295889885793962,0.0007502139452626021
changed,AliasAwareFusion,1,Strict-Hit,0.7594501718213058,0.002249668971505068
changed,AliasAwareFusion,1,Strict-MRR,0.7594501718213058,0.002249668971505068
changed,AliasAwareFusion,1,Strict-Recall,0.7594501718213058,0.002249668971505068
changed,AliasAwareFusion,1,nDCG,0.7693386633003717,0.002571050253148637
changed,AliasAwareFusion,2,Strict-Hit,0.833578792341679,0.0014727540500736325
changed,AliasAwareFusion,2,Strict-MRR,0.7965144820814923,0.0008502949472602034
changed,AliasAwareFusion,2,Strict-Recall,0.833578792341679,0.0014727540500736325
changed,AliasAwareFusion,2,nDCG,0.6658093326889017,0.0005960870519437443
changed,AliasAwareFusion,3,Strict-Hit,0.8831615120274914,0.0008502949472601232
changed,AliasAwareFusion,3,Strict-MRR,0.8130420553100967,0.00102192734387137
changed,AliasAwareFusion,3,Strict-Recall,0.8831615120274914,0.0008502949472601232
changed,AliasAwareFusion,3,nDCG,0.6286124966860034,0.0007032412448228154
changed,AliasAwareFusion,4,Strict-Hit,0.9042709867452136,0.0038965409588579726
changed,AliasAwareFusion,4,Strict-MRR,0.8183194239895272,0.0014642063629662207
changed,AliasAwareFusion,4,Strict-Recall,0.9042709867452136,0.0038965409588579726
changed,AliasAwareFusion,4,nDCG,0.6385531742649548,0.0014056468525716938
changed,AliasAwareFusion,5,Strict-Hit,0.9155621011291114,0.002249668971505068
changed,AliasAwareFusion,5,Strict-MRR,0.8205776468663067,0.0008581709378302889
changed,AliasAwareFusion,5,Strict-Recall,0.9155621011291114,0.002249668971505068
changed,AliasAwareFusion,5,nDCG,0.6453421254477129,0.00024246290246208793
changed,AliasAwareFusion,6,Strict-Hit,0.9283259695630829,0.002249668971505068
changed,AliasAwareFusion,6,Strict-MRR,0.8227049582719687,0.0012196620764659695
changed,AliasAwareFusion,6,Strict-Recall,0.9283259695630829,0.002249668971505068
changed,AliasAwareFusion,6,nDCG,0.6498922274880191,0.0011763917164823495
changed,AliasAwareFusion,7,Strict-Hit,0.9361806578301423,0.0008502949472601232
changed,AliasAwareFusion,7,Strict-MRR,0.8238270565958342,0.0011272422683559478
changed,AliasAwareFusion,7,Strict-Recall,0.9361806578301423,0.0008502949472601232
changed,AliasAwareFusion,7,nDCG,0.653562250497579,0.0010771843494963124
changed,AliasAwareFusion,8,Strict-Hit,0.9435444280805104,0.0017005898945203588
changed,AliasAwareFusion,8,Strict-MRR,0.8247475278771302,0.001078514354352612
changed,AliasAwareFusion,8,Strict-Recall,0.9435444280805104,0.0017005898945203588
changed,AliasAwareFusion,8,nDCG,0.6566468459095334,0.0007845628526173084
changed,AliasAwareFusion,9,Strict-Hit,0.948944526264114,0.0008502949472601473
changed,AliasAwareFusion,9,Strict-MRR,0.8253475387864194,0.0010510453835472398
changed,AliasAwareFusion,9,Strict-Recall,0.948944526264114,0.0008502949472601473
changed,AliasAwareFusion,9,nDCG,0.6598704067684108,0.0009275898463515371
changed,AliasAwareFusion,10,Strict-Hit,0.9509081983308788,0.0017005898945202465
changed,AliasAwareFusion,10,Strict-MRR,0.8255439059930959,0.0010754255883697883
changed,AliasAwareFusion,10,Strict-Recall,0.9509081983308788,0.0017005898945202465
changed,AliasAwareFusion,10,nDCG,0.6612749989608965,0.0008542737543994432
changed,WithoutEntity,1,Strict-Hit,0.6067746686303387,0.0
changed,WithoutEntity,1,Strict-MRR,0.6067746686303387,0.0
changed,WithoutEntity,1,Strict-Recall,0.6067746686303387,0.0
changed,WithoutEntity,1,nDCG,0.620660635388176,0.0
changed,WithoutEntity,2,Strict-Hit,0.690721649484536,0.0
changed,WithoutEntity,2,Strict-MRR,0.6487481590574374,0.0
changed,WithoutEntity,2,Strict-Recall,0.690721649484536,0.0
changed,WithoutEntity,2,nDCG,0.5528170047404423,0.0
changed,WithoutEntity,3,Strict-Hit,0.7363770250368189,0.0
changed,WithoutEntity,3,Strict-MRR,0.663966617574865,0.0
changed,WithoutEntity,3,Strict-Recall,0.7363770250368189,0.0
changed,WithoutEntity,3,nDCG,0.5245213714826182,0.0
changed,WithoutEntity,4,Strict-Hit,0.7525773195876289,0.0
changed,WithoutEntity,4,Strict-MRR,0.6680166912125675,0.0
changed,WithoutEntity,4,Strict-Recall,0.7525773195876289,0.0
changed,WithoutEntity,4,nDCG,0.533415699758008,0.0
changed,WithoutEntity,5,Strict-Hit,0.7746686303387335,0.0
changed,WithoutEntity,5,Strict-MRR,0.6724349533627884,0.0
changed,WithoutEntity,5,Strict-Recall,0.7746686303387335,0.0
changed,WithoutEntity,5,nDCG,0.5442318767327483,0.0
changed,WithoutEntity,6,Strict-Hit,0.7997054491899854,0.0
changed,WithoutEntity,6,Strict-MRR,0.6766077565046636,0.0
changed,WithoutEntity,6,Strict-Recall,0.7997054491899854,0.0
changed,WithoutEntity,6,nDCG,0.5531622003191778,0.0
changed,WithoutEntity,7,Strict-Hit,0.817378497790869,0.0
changed,WithoutEntity,7,Strict-MRR,0.6791324777333614,0.0
